code,regions,period,grains_and_legumes,sugarbeet,sunflower,soybeans,rapeseed,potatoes,vegetables,fruits_and_berries
0000000000,Україна ,2021,53.9,479.1,24.6,26.4,29.3,166.4,215.4,117.3
0100000000,Автономна Республіка Крим,2021,,,,,,,,
0500000000,Вінницька,2021,73.4,464.9,32.0,28.4,33.1,156.6,220.1,127.8
0700000000,Волинська,2021,46.1,468.8,25.4,27.2,31.6,149.1,218.6,104.1
1200000000,Дніпропетро́вська,2021,43.0,511.2,23.3,17.3,23.9,131.4,213.9,109.9
1400000000,Доне́цька,2021,37.4,289.5,21.8,,,131.0,177.8,146.0
1800000000,Житомирська,2021,60.8,436.9,24.0,26.7,26.4,190.6,217.3,117.6
2100000000,Закарпатська,2021,43.6,,18.7,22.6,,164.7,214.4,86.5
2300000000,Запорізька,2021,37.9,,20.0,34.7,24.6,126.3,218.6,89.4
2600000000,Івано-Франківська,2021,65.2,553.7,28.5,29.2,34.6,171.0,176.8,78.3
3200000000,Київська,2021,67.6,440.2,28.5,23.6,30.6,184.5,211.6,109.2
3500000000,Кіровоградська,2021,55.4,433.1,26.3,22.1,23.9,135.1,152.9,56.3
4400000000,Луганська,2021,35.5,,18.3,,10.7,198.3,269.3,139.8
4600000000,Львівська,2021,58.0,597.3,25.2,29.9,33.9,176.1,196.0,95.4
4800000000,Миколаївська,2021,41.3,,22.4,20.5,26.4,153.8,342.1,69.0
5100000000,Одеська,2021,41.2,,23.2,24.5,25.5,122.9,158.4,131.2
5300000000,Полтавська,2021,59.2,403.0,25.7,20.3,30.7,199.8,232.4,217.6
5600000000,Рівненська,2021,54.1,509.7,26.2,26.0,29.8,176.9,214.1,137.8
5900000000,Сумська,2021,59.0,,29.4,19.6,31.9,146.9,180.7,53.2
6100000000,Тернопільська,2021,67.8,534.7,33.4,30.5,38.2,192.4,242.8,165.3
6300000000,Харківська,2021,46.5,441.2,24.4,17.9,22.8,120.1,179.9,89.2
6500000000,Херсонська,2021,43.4,,19.3,34.2,25.6,190.5,301.9,49.6
6800000000,Хмельницька,2021,77.2,542.3,31.4,30.7,35.9,191.2,213.5,172.3
7100000000,Черкаська,2021,72.7,506.8,31.5,24.5,31.4,178.0,177.3,72.4
7300000000,Чернівецька,2021,60.5,,28.4,26.8,27.5,181.9,196.6,172.2
7400000000,Чернігівська,2021,71.1,413.2,29.1,25.5,33.0,165.4,169.5,61.7
8000000000,Київ,2021,,,,,,,,
8500000000,Севастополь,2021,,,,,,,,
